 arch	  circuit	  script_params	  vtr_flow_elapsed_time	  vtr_max_mem_stage	  vtr_max_mem	  error	  odin_synth_time	  max_odin_mem	  parmys_synth_time	  max_parmys_mem	  abc_depth	  abc_synth_time	  abc_cec_time	  abc_sec_time	  max_abc_mem	  ace_time	  max_ace_mem	  num_clb	  num_io	  num_memories	  num_mult	  vpr_status	  vpr_revision	  vpr_build_info	  vpr_compiler	  vpr_compiled	  hostname	  rundir	  max_vpr_mem	  num_primary_inputs	  num_primary_outputs	  num_pre_packed_nets	  num_pre_packed_blocks	  num_netlist_clocks	  num_post_packed_nets	  num_post_packed_blocks	  device_width	  device_height	  device_grid_tiles	  device_limiting_resources	  device_name	  pack_mem	  pack_time	  placed_wirelength_est	  place_mem	  place_time	  place_quench_time	  placed_CPD_est	  placed_setup_TNS_est	  placed_setup_WNS_est	  placed_geomean_nonvirtual_intradomain_critical_path_delay_est	  place_delay_matrix_lookup_time	  place_quench_timing_analysis_time	  place_quench_sta_time	  place_total_timing_analysis_time	  place_total_sta_time	  min_chan_width	  routed_wirelength	  min_chan_width_route_success_iteration	  logic_block_area_total	  logic_block_area_used	  min_chan_width_routing_area_total	  min_chan_width_routing_area_per_tile	  min_chan_width_route_time	  min_chan_width_total_timing_analysis_time	  min_chan_width_total_sta_time	  crit_path_num_rr_graph_nodes	  crit_path_num_rr_graph_edges	  crit_path_collapsed_nodes	  crit_path_routed_wirelength	  crit_path_route_success_iteration	  crit_path_total_nets_routed	  crit_path_total_connections_routed	  crit_path_total_heap_pushes	  crit_path_total_heap_pops	  crit_path_total_internal_heap_pushes	  crit_path_total_internal_heap_pops	  crit_path_total_external_heap_pushes	  crit_path_total_external_heap_pops	  crit_path_total_external_SOURCE_pushes	  crit_path_total_external_SOURCE_pops	  crit_path_total_internal_SOURCE_pushes	  crit_path_total_internal_SOURCE_pops	  crit_path_total_external_SINK_pushes	  crit_path_total_external_SINK_pops	  crit_path_total_internal_SINK_pushes	  crit_path_total_internal_SINK_pops	  crit_path_total_external_IPIN_pushes	  crit_path_total_external_IPIN_pops	  crit_path_total_internal_IPIN_pushes	  crit_path_total_internal_IPIN_pops	  crit_path_total_external_OPIN_pushes	  crit_path_total_external_OPIN_pops	  crit_path_total_internal_OPIN_pushes	  crit_path_total_internal_OPIN_pops	  crit_path_total_external_CHANX_pushes	  crit_path_total_external_CHANX_pops	  crit_path_total_internal_CHANX_pushes	  crit_path_total_internal_CHANX_pops	  crit_path_total_external_CHANY_pushes	  crit_path_total_external_CHANY_pops	  crit_path_total_internal_CHANY_pushes	  crit_path_total_internal_CHANY_pops	  crit_path_rt_node_SOURCE_pushes	  crit_path_rt_node_SINK_pushes	  crit_path_rt_node_IPIN_pushes	  crit_path_rt_node_OPIN_pushes	  crit_path_rt_node_CHANX_pushes	  crit_path_rt_node_CHANY_pushes	  crit_path_adding_all_rt	  crit_path_adding_high_fanout_rt	  crit_path_total_number_of_adding_all_rt_from_calling_high_fanout_rt	  critical_path_delay	  geomean_nonvirtual_intradomain_critical_path_delay	  setup_TNS	  setup_WNS	  hold_TNS	  hold_WNS	  crit_path_routing_area_total	  crit_path_routing_area_per_tile	  router_lookahead_computation_time	  crit_path_route_time	  crit_path_create_rr_graph_time	  crit_path_create_intra_cluster_rr_graph_time	  crit_path_tile_lookahead_computation_time	  crit_path_router_lookahead_computation_time	  crit_path_total_timing_analysis_time	  crit_path_total_sta_time	 
 k6_N10_mem32K_40nm.xml	  ch_intrinsics.v	  common	  3.11	  vpr	  63.38 MiB	  	  -1	  -1	  0.30	  21704	  3	  0.10	  -1	  -1	  36384	  -1	  -1	  69	  99	  1	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  64904	  99	  130	  343	  473	  1	  230	  299	  12	  12	  144	  clb	  auto	  24.5 MiB	  0.07	  605	  63.4 MiB	  0.24	  0.00	  1.5264	  -111.643	  -1.5264	  1.5264	  0.37	  0.000599879	  0.000512865	  0.0482822	  0.0418273	  42	  1290	  12	  5.66058e+06	  4.26669e+06	  330626.	  2296.01	  0.81	  0.175219	  0.155528	  10780	  62298	  -1	  1160	  10	  493	  687	  48350	  14250	  0	  0	  48350	  14250	  687	  543	  0	  0	  2479	  2197	  0	  0	  2757	  2480	  0	  0	  2918	  1727	  0	  0	  18909	  3783	  0	  0	  20600	  3520	  0	  0	  687	  0	  0	  194	  419	  421	  2823	  0	  0	  2.05234	  2.05234	  -134.654	  -2.05234	  -0.600962	  -0.296573	  415849.	  2887.84	  0.15	  0.05	  0.07	  -1	  -1	  0.15	  0.0214482	  0.0200549	 
 k6_N10_mem32K_40nm.xml	  diffeq1.v	  common	  10.25	  vpr	  66.70 MiB	  	  -1	  -1	  0.44	  26804	  15	  0.38	  -1	  -1	  37320	  -1	  -1	  49	  162	  0	  5	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  68300	  162	  96	  993	  934	  1	  713	  312	  16	  16	  256	  mult_36	  auto	  28.6 MiB	  0.25	  5824	  66.7 MiB	  0.69	  0.01	  19.9533	  -1677	  -19.9533	  19.9533	  0.80	  0.00235731	  0.00210012	  0.182509	  0.163331	  44	  11808	  35	  1.21132e+07	  4.62081e+06	  665287.	  2598.78	  4.91	  0.794196	  0.722677	  20656	  131250	  -1	  9456	  25	  3776	  8119	  2549621	  620254	  0	  0	  2549621	  620254	  8119	  4768	  0	  0	  92809	  90602	  0	  0	  97841	  93124	  0	  0	  34065	  17693	  0	  0	  1165228	  199032	  0	  0	  1151559	  215035	  0	  0	  8119	  0	  0	  4714	  13280	  13150	  85919	  0	  0	  22.1509	  22.1509	  -1847.63	  -22.1509	  0	  0	  864808.	  3378.16	  0.24	  0.57	  0.14	  -1	  -1	  0.24	  0.0858245	  0.0799837	 
 k6_N10_mem32K_40nm.xml	  single_wire.v	  common	  0.54	  vpr	  60.57 MiB	  	  -1	  -1	  0.08	  19084	  1	  0.01	  -1	  -1	  32904	  -1	  -1	  0	  1	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  62024	  1	  1	  1	  2	  0	  1	  2	  3	  3	  9	  -1	  auto	  21.8 MiB	  0.00	  2	  60.6 MiB	  0.00	  0.00	  0.205011	  -0.205011	  -0.205011	  nan	  0.01	  5.102e-06	  2.664e-06	  5.2426e-05	  2.7886e-05	  2	  1	  1	  53894	  0	  1165.58	  129.509	  0.01	  0.000145741	  9.2125e-05	  254	  297	  -1	  1	  1	  1	  1	  17	  8	  0	  0	  17	  8	  1	  1	  0	  0	  4	  1	  0	  0	  8	  4	  0	  0	  1	  1	  0	  0	  2	  1	  0	  0	  1	  0	  0	  0	  1	  0	  0	  0	  0	  0	  1	  0	  0	  0.211201	  nan	  -0.211201	  -0.211201	  0	  0	  1165.58	  129.509	  0.00	  0.00	  0.00	  -1	  -1	  0.00	  7.2022e-05	  5.2767e-05	 
 k6_N10_mem32K_40nm.xml	  single_ff.v	  common	  0.52	  vpr	  60.47 MiB	  	  -1	  -1	  0.09	  19804	  1	  0.01	  -1	  -1	  32992	  -1	  -1	  1	  2	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  61924	  2	  1	  3	  4	  1	  3	  4	  3	  3	  9	  -1	  auto	  21.7 MiB	  0.00	  4	  60.5 MiB	  0.00	  0.00	  0.570641	  -0.944653	  -0.570641	  0.570641	  0.01	  6.812e-06	  4.061e-06	  6.4696e-05	  4.8158e-05	  2	  2	  2	  53894	  53894	  1165.58	  129.509	  0.01	  0.000208445	  0.000159053	  254	  297	  -1	  2	  2	  3	  3	  69	  44	  0	  0	  69	  44	  3	  3	  0	  0	  18	  17	  0	  0	  18	  18	  0	  0	  21	  3	  0	  0	  5	  2	  0	  0	  4	  1	  0	  0	  3	  0	  0	  0	  0	  0	  3	  0	  0	  0.577715	  0.577715	  -0.9588	  -0.577715	  0	  0	  1165.58	  129.509	  0.00	  0.00	  0.00	  -1	  -1	  0.00	  0.000110334	  8.5315e-05	 
 k6_N10_mem32K_40nm_i_or_o.xml	  ch_intrinsics.v	  common	  10.06	  vpr	  63.30 MiB	  	  -1	  -1	  0.31	  21752	  3	  0.11	  -1	  -1	  36472	  -1	  -1	  69	  99	  1	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  64824	  99	  130	  343	  473	  1	  230	  299	  19	  19	  361	  o	  auto	  24.5 MiB	  0.08	  662	  63.3 MiB	  0.20	  0.00	  1.56399	  -124.341	  -1.56399	  1.56399	  2.68	  0.000590367	  0.00051512	  0.0421916	  0.0368471	  42	  1024	  12	  1.79173e+07	  4.26669e+06	  944445.	  2616.19	  4.16	  0.214483	  0.192456	  26438	  187153	  -1	  978	  10	  580	  816	  52427	  14243	  0	  0	  52427	  14243	  816	  600	  0	  0	  2636	  2137	  0	  0	  3874	  2639	  0	  0	  3243	  1926	  0	  0	  19157	  3941	  0	  0	  22701	  3000	  0	  0	  816	  0	  0	  236	  465	  510	  3303	  0	  0	  1.81621	  1.81621	  -137.704	  -1.81621	  -0.470811	  -0.239291	  1.17969e+06	  3267.85	  0.45	  0.04	  0.19	  -1	  -1	  0.45	  0.0200594	  0.0186411	 
 k6_N10_mem32K_40nm_i_or_o.xml	  diffeq1.v	  common	  15.72	  vpr	  73.11 MiB	  	  -1	  -1	  0.44	  26772	  15	  0.39	  -1	  -1	  37236	  -1	  -1	  49	  162	  0	  5	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  74868	  162	  96	  993	  934	  1	  713	  312	  24	  24	  576	  i	  auto	  28.5 MiB	  0.27	  7026	  73.1 MiB	  0.63	  0.02	  21.0705	  -1740.73	  -21.0705	  21.0705	  4.57	  0.00192468	  0.0017103	  0.161206	  0.144083	  42	  12895	  28	  3.08128e+07	  4.62081e+06	  1.54255e+06	  2678.04	  5.17	  0.545588	  0.496224	  43426	  305243	  -1	  11278	  21	  4294	  9108	  3076519	  648661	  0	  0	  3076519	  648661	  9108	  5628	  0	  0	  99215	  95427	  0	  0	  107034	  99500	  0	  0	  40063	  20581	  0	  0	  1447066	  205862	  0	  0	  1374033	  221663	  0	  0	  9108	  0	  0	  5182	  15062	  16605	  95839	  0	  0	  22.4984	  22.4984	  -1900.89	  -22.4984	  0	  0	  1.92788e+06	  3347.02	  0.55	  0.54	  0.18	  -1	  -1	  0.55	  0.0713543	  0.0665951	 
 k6_N10_mem32K_40nm_i_or_o.xml	  single_wire.v	  common	  0.54	  vpr	  60.19 MiB	  	  -1	  -1	  0.09	  19212	  1	  0.00	  -1	  -1	  32728	  -1	  -1	  0	  1	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  61632	  1	  1	  1	  2	  0	  1	  2	  4	  4	  16	  i	  auto	  21.4 MiB	  0.00	  3	  60.2 MiB	  0.00	  0.00	  0.205011	  -0.205011	  -0.205011	  nan	  0.01	  5.461e-06	  3.084e-06	  4.8575e-05	  3.1652e-05	  4	  2	  1	  215576	  0	  2092.17	  130.760	  0.01	  0.000164163	  0.000116758	  324	  600	  -1	  2	  1	  1	  1	  18	  8	  0	  0	  18	  8	  1	  1	  0	  0	  4	  1	  0	  0	  8	  4	  0	  0	  1	  1	  0	  0	  2	  1	  0	  0	  2	  0	  0	  0	  1	  0	  0	  0	  0	  0	  1	  0	  0	  0.229376	  nan	  -0.229376	  -0.229376	  0	  0	  3281.68	  205.105	  0.00	  0.00	  0.00	  -1	  -1	  0.00	  7.8299e-05	  5.5786e-05	 
 k6_N10_mem32K_40nm_i_or_o.xml	  single_ff.v	  common	  0.54	  vpr	  60.30 MiB	  	  -1	  -1	  0.09	  19764	  1	  0.00	  -1	  -1	  32952	  -1	  -1	  1	  2	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  61748	  2	  1	  3	  4	  1	  3	  4	  4	  4	  16	  i	  auto	  21.3 MiB	  0.00	  5	  60.3 MiB	  0.00	  0.00	  0.669261	  -1.04327	  -0.669261	  0.669261	  0.01	  7.111e-06	  4.4e-06	  6.8886e-05	  5.0211e-05	  6	  3	  1	  215576	  53894	  3281.68	  205.105	  0.01	  0.000265262	  0.000204519	  340	  760	  -1	  4	  2	  4	  4	  89	  48	  0	  0	  89	  48	  4	  4	  0	  0	  14	  12	  0	  0	  18	  14	  0	  0	  22	  8	  0	  0	  16	  8	  0	  0	  15	  2	  0	  0	  4	  0	  0	  0	  0	  0	  4	  0	  0	  0.652118	  0.652118	  -1.05145	  -0.652118	  0	  0	  4601.64	  287.602	  0.00	  0.00	  0.00	  -1	  -1	  0.00	  0.000124227	  9.6845e-05	 
