 arch	  circuit	  script_params	  vpr_status	  total_wirelength	  total_runtime	  num_clb	  min_chan_width	  crit_path_delay	 
 k6_N10_mem32K_40nm.xml	  ch_intrinsics.v	  common	  success	  1290	  2.05	  69	  42	  -1	 
 k6_N10_mem32K_40nm.xml	  diffeq1.v	  common	  success	  11808	  7.79	  49	  44	  -1	 
 k6_N10_mem32K_40nm.xml	  single_wire.v	  common	  success	  1	  0.16	  0	  2	  -1	 
 k6_N10_mem32K_40nm.xml	  single_ff.v	  common	  success	  2	  0.15	  1	  2	  -1	 
 k6_N10_mem32K_40nm_i_or_o.xml	  ch_intrinsics.v	  common	  success	  1024	  8.55	  69	  42	  -1	 
 k6_N10_mem32K_40nm_i_or_o.xml	  diffeq1.v	  common	  success	  12895	  13.03	  49	  42	  -1	 
 k6_N10_mem32K_40nm_i_or_o.xml	  single_wire.v	  common	  success	  2	  0.17	  0	  4	  -1	 
 k6_N10_mem32K_40nm_i_or_o.xml	  single_ff.v	  common	  success	  3	  0.17	  1	  6	  -1	 
