arch	circuit	script_params	vpr_status	total_wirelength	total_runtime	num_clb	min_chan_width	crit_path_delay	
fixed_grid.xml	raygentop.v	common	success	24143	553.32	112	56	-1	
column_io.xml	raygentop.v	common	success	25739	543.63	112	50	-1	
multiwidth_blocks.xml	raygentop.v	common	success	23647	478.54	112	72	-1	
non_column.xml	raygentop.v	common	success	31686	686.91	112	44	-1	
non_column_tall_aspect_ratio.xml	raygentop.v	common	success	29700	708.57	112	48	-1	
non_column_wide_aspect_ratio.xml	raygentop.v	common	success	29647	718.87	112	46	-1	
custom_sbloc.xml	raygentop.v	common	success	22976	586.39	112	66	-1	
multiple_io_types.xml	raygentop.v	common	success	37231	1170.95	112	56	-1	
