task_name 	arch	circuit	script_params	vpr_status	total_wirelength	total_runtime	num_clb	min_chan_width	crit_path_delay	
strong_dedicated_clock	timing/k6_frac_N10_frac_chain_mem32K_htree0_40nm.xml	verilog/mkPktMerge.v	common	success	15073	18.71	30	40	-1	
strong_dedicated_clock	timing/k6_frac_N10_frac_chain_mem32K_htree0_routedCLK_40nm.xml	verilog/mkPktMerge.v	common	success	15097	17.90	30	40	-1	
strong_dedicated_clock	timing/k6_frac_N10_frac_chain_mem32K_htree0short_40nm.xml	verilog/mkPktMerge.v	common	success	16956	26.86	30	40	-1	
strong_default_fc_pinlocs	k4_N4_90nm_default_fc_pinloc.xml	diffeq.blif	common	success	12669	12.72	417	22	-1	
strong_depop	k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	mkSMAdapter4B.v	common	success	20085	30.84	151	80	-1	
strong_detailed_timing	k6_frac_N10_mem32K_40nm.xml	ch_intrinsics.v	common	success	1369	2.25	68	40	-1	
strong_eblif_vpr	k6_frac_N10_40nm.xml	test_eblif.eblif	common	success	7	0.13	1	20	-1	
strong_eblif_vpr	k6_frac_N10_40nm.xml	conn_order.eblif	common	success	10	0.12	1	20	-1	
strong_eblif_vpr_write	arch.xml	eblif_write.eblif	common	success	11	0.12	-1	2	-1	
strong_echo_files	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	151	0.40	12	-1	-1	
strong_equivalent_sites	equivalent.xml	equivalent.blif	common	success	5	0.16	-1	1	-1	
strong_fc_abs	k6_N10_mem32K_40nm_fc_abs.xml	stereovision3.v	common	success	157	0.44	12	14	-1	
strong_fix_clusters	fix_clusters_test_arch.xml	apex2.blif	common	success	7515	12.18	140	158	-1	
strong_fix_pins_random	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	224	0.42	12	18	-1	
strong_flyover_wires	shorted_flyover_wires.xml	raygentop.v	common	success	31151	19.55	120	70	-1	
strong_flyover_wires	buffered_flyover_wires.xml	raygentop.v	common	success	30395	20.55	120	70	-1	
strong_fpu_hard_block_arch	hard_fpu_arch_timing.xml	mm3.v	common	success	6354	6.77	0	-1	-1	
strong_fracturable_luts	k6_N8_I80_fleI10_fleO2_ff2_nmodes_2.xml	ch_intrinsics.v	common	success	1091	3.40	67	30	-1	
strong_full_stats	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	151	0.28	12	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	const_true.blif	common	success	0	0.12	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	const_false.blif	common	success	0	0.13	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	always_true.blif	common	success	0	0.12	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	always_false.blif	common	success	0	0.12	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	and.blif	common	success	4	0.13	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	multiconnected_lut.blif	common	success	7	0.13	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	multiconnected_lut2.blif	common	success	7	0.13	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	and_latch.blif	common	success	3	0.13	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	false_path_mux.blif	common	success	6	0.12	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	mult_2x2.blif	common	success	11	0.13	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	mult_3x3.blif	common	success	21	0.13	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	mult_3x4.blif	common	success	45	0.17	3	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	mult_4x4.blif	common	success	53	0.17	2	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	mult_5x5.blif	common	success	126	0.21	4	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	mult_5x6.blif	common	success	207	0.29	5	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	rca_1bit.blif	common	success	9	0.12	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	rca_2bit.blif	common	success	11	0.12	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	rca_3bit.blif	common	success	18	0.14	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	rca_4bit.blif	common	success	19	0.14	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	rca_5bit.blif	common	success	24	0.15	1	-1	-1	
strong_func_formal_vpr	k6_frac_N10_40nm.xml	const_true.blif	common	success	0	0.15	1	-1	-1	
strong_func_formal_vpr	k6_frac_N10_40nm.xml	const_false.blif	common	success	0	0.13	1	-1	-1	
strong_func_formal_vpr	k6_frac_N10_40nm.xml	always_true.blif	common	success	8	0.14	1	-1	-1	
strong_func_formal_vpr	k6_frac_N10_40nm.xml	always_false.blif	common	success	8	0.14	1	-1	-1	
strong_func_formal_vpr	k6_frac_N10_40nm.xml	multiconnected_lut.blif	common	success	7	0.13	1	-1	-1	
strong_func_formal_vpr	k6_frac_N10_40nm.xml	multiconnected_lut2.blif	common	success	7	0.13	1	-1	-1	
strong_global_nonuniform	x_gaussian_y_uniform.xml	stereovision3.v	common	success	76	0.37	7	8	-1	
strong_global_nonuniform	x_uniform_y_gaussian.xml	stereovision3.v	common	success	103	0.39	7	6	-1	
strong_global_nonuniform	x_gaussian_y_gaussian.xml	stereovision3.v	common	success	81	0.37	7	8	-1	
strong_global_nonuniform	x_delta_y_uniform.xml	stereovision3.v	common	success	78	0.34	7	28	-1	
strong_global_nonuniform	x_delta_y_delta.xml	stereovision3.v	common	success	78	0.35	7	28	-1	
strong_global_nonuniform	x_uniform_y_delta.xml	stereovision3.v	common	success	112	0.37	7	8	-1	
strong_global_routing	timing/k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	118	0.38	12	6	-1	
strong_global_routing	nonuniform_chan_width/k6_N10_mem32K_40nm_nonuniform.xml	stereovision3.v	common	success	120	0.31	12	10	-1	
strong_global_routing	nonuniform_chan_width/k6_N10_mem32K_40nm_pulse.xml	stereovision3.v	common	success	121	0.35	12	6	-1	
strong_graphics_commands	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	137	4.46	12	-1	-1	
strong_manual_annealing	k6_frac_N10_40nm.xml	stereovision3.v	common	success	129	0.40	7	24	-1	
strong_mcnc	k4_N4_90nm.xml	diffeq.blif	common	success	12669	13.05	417	22	-1	
strong_mcnc	k4_N4_90nm.xml	ex5p.blif	common	success	15442	22.23	346	34	-1	
strong_mcnc	k4_N4_90nm.xml	s298.blif	common	success	18559	18.90	571	26	-1	
strong_minimax_budgets	k6_frac_N10_frac_chain_mem32K_40nm.xml	stereovision3.v	common	success	313	0.69	15	-1	-1	
strong_multiclock	k6_frac_N10_mem32K_40nm.xml	multiclock.blif	common	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
strong_no_timing	k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	ch_intrinsics.v	common	success	1377	1.41	64	38	-1	
strong_pack	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	-1	0.23	12	-1	-1	
strong_pack_and_place	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	-1	0.30	12	-1	-1	
strong_pack_disable	k6_frac_N10_40nm.xml	mult_5x6.blif	common	success	232	0.29	4	32	-1	
strong_pack_disable	k6_frac_N10_40nm_disable_packing.xml	mult_5x6.blif	common	exited with return code 1	-1	0.02	-1	-1	-1	
strong_pack_modes	k4_N8_tileable_reset_softadder_register_scan_chain_nonLR_caravel_io_skywater130nm.xml	reg_4x32.blif	common	success	-1	1.67	32	-1	-1	
strong_place	k6_N10_mem32K_40nm.xml	multiclock.blif	common	success	-1	0.17	2	-1	-1	
strong_place_delay_calc_method	stratixiv_arch.timing.xml	styr.blif	common	success	944	19.02	-1	20	-1	
strong_place_delay_calc_method	stratixiv_arch.timing.xml	styr.blif	common	success	746	18.77	-1	22	-1	
strong_place_delay_calc_method	stratixiv_arch.timing.xml	styr.blif	common	success	889	20.22	-1	18	-1	
strong_place_delay_calc_method	stratixiv_arch.timing.xml	styr.blif	common	success	889	19.71	-1	18	-1	
strong_place_delay_model	stratixiv_arch.timing.xml	styr.blif	common	success	944	21.71	-1	20	-1	
strong_place_delay_model	stratixiv_arch.timing.xml	styr.blif	common	success	746	21.60	-1	22	-1	
strong_place_effort_scaling	EArch.xml	ex5p.blif	common	success	-1	2.99	59	-1	-1	
strong_place_effort_scaling	EArch.xml	ex5p.blif	common	success	-1	3.14	59	-1	-1	
strong_place_effort_scaling	EArch.xml	ex5p.blif	common	success	-1	8.99	59	-1	-1	
strong_place_effort_scaling	EArch.xml	ex5p.blif	common	success	-1	10.10	59	-1	-1	
strong_place_quench_slack	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	195	0.42	12	18	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	const_true.blif	common	success	0	0.14	1	2	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	const_false.blif	common	success	0	0.15	1	2	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	always_true.blif	common	success	0	0.14	1	2	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	always_false.blif	common	success	0	0.15	1	2	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	and.blif	common	success	10	0.15	1	16	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	multiconnected_lut.blif	common	success	33	0.17	1	16	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	multiconnected_lut2.blif	common	success	24	0.17	1	16	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	and_latch.blif	common	success	4	0.15	1	14	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	false_path_mux.blif	common	success	17	0.15	1	14	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	mult_2x2.blif	common	success	40	0.18	1	28	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	mult_3x3.blif	common	success	230	0.34	3	24	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	mult_3x4.blif	common	success	357	0.40	5	30	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	mult_4x4.blif	common	success	501	0.65	7	30	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	mult_5x5.blif	common	success	1105	1.06	11	38	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	mult_5x6.blif	common	success	959	0.97	11	40	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	rca_1bit.blif	common	success	29	0.15	1	16	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	rca_2bit.blif	common	success	36	0.17	1	18	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	rca_3bit.blif	common	success	56	0.18	1	26	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	rca_4bit.blif	common	success	61	0.18	1	28	-1	
strong_post_routing_sync	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	rca_5bit.blif	common	success	175	0.25	2	28	-1	
strong_power	k6_frac_N10_mem32K_40nm.xml	ch_intrinsics.v	common	success	1385	2.23	68	40	-1	
strong_power	k6_frac_N10_mem32K_40nm.xml	diffeq1.v	common	success	11996	10.94	35	50	-1	
strong_route_only	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	137	0.29	12	-1	-1	
strong_route_only	k6_frac_N10_frac_chain_mem32K_40nm.xml	stereovision3.v	common	success	278	0.60	15	-1	-1	
strong_route_reconverge	k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	mkSMAdapter4B.v	common	success	20085	32.21	151	80	-1	
strong_router_init_timing	k6_N10_mem32K_40nm.xml	ex5p.blif	common	success	6819	1.92	80	-1	-1	
strong_router_init_timing	k6_N10_mem32K_40nm.xml	ex5p.blif	common	success	6692	1.94	80	-1	-1	
strong_router_lookahead	k6_N10_mem32K_40nm.xml	ex5p.blif	common	success	7011	1.74	80	-1	-1	
strong_router_lookahead	k6_N10_mem32K_40nm.xml	ex5p.blif	common	success	7326	1.96	80	-1	-1	
strong_router_lookahead	k6_N10_mem32K_40nm.xml	ex5p.blif	common	success	7123	3.02	80	-1	-1	
strong_router_lookahead	k6_N10_mem32K_40nm.xml	ex5p.blif	common	success	7123	3.03	80	-1	-1	
strong_router_update_lb_delays	k6_N10_mem32K_40nm.xml	ex5p.blif	common	success	6590	1.99	80	-1	-1	
strong_router_update_lb_delays	k6_N10_mem32K_40nm.xml	ex5p.blif	common	success	6579	2.00	80	-1	-1	
strong_routing_differing_modes	slicem.xml	carry_chain.blif	common	success	177	0.41	-1	27	-1	
strong_routing_modes	arch.xml	ndff.blif	common	success	27	0.14	-1	4	-1	
strong_scale_delay_budgets	k6_frac_N10_frac_chain_mem32K_40nm.xml	stereovision3.v	common	success	313	0.59	15	-1	-1	
strong_sdc	k6_N10_mem32K_40nm.xml	multiclock.blif	common	success	28	0.17	2	8	-1	
strong_sdc	k6_N10_mem32K_40nm.xml	multiclock.blif	common	success	31	0.18	2	8	-1	
strong_sdc	k6_N10_mem32K_40nm.xml	multiclock.blif	common	success	24	0.18	2	8	-1	
strong_sdc	k6_N10_mem32K_40nm.xml	multiclock.blif	common	success	24	0.18	2	8	-1	
strong_sdc	k6_N10_mem32K_40nm.xml	multiclock.blif	common	success	20	0.18	2	8	-1	
strong_sdc	k6_N10_mem32K_40nm.xml	multiclock.blif	common	success	24	0.19	2	12	-1	
strong_soft_multipliers	k6_frac_N10_4add_2chains_depop50_mem20K_22nm.xml	mult_4x4.v	common	success	221	0.96	3	30	-1	
strong_soft_multipliers	k6_frac_N10_4add_2chains_depop50_mem20K_22nm.xml	mult_5x5.v	common	success	195	6.99	2	34	-1	
